Run Num,Sample Bag,      Date/Time,     Timestamp,HR Delta iCH4 Mean,HR Delta iCH4 Std,HP Delta iCH4 Mean,HP Delta iCH4 Std, Delta 13CO2 Mean, Delta 13CO2 Std,    HR 12CH4 Mean,    HR 12CH4 Std,    HR 13CH4 Mean,    HR 13CH4 Std,    HP 12CH4 Mean,    HP 12CH4 Std,    HP 13CH4 Mean,    HP 13CH4 Std,       12CO2 Mean,       12CO2 Std,       13CO2 Mean,       13CO2 Std,         H2O Mean,         H2O Std,  ChemDetect Mean,Valve Position,  Standard Delta iCH4,  Standard Delta iCO2,       Standard 13CH4,       Standard 13CO2
      1,         1,05/31/19 09:17:45,1559308539.17800,           20.981,           41.401,          -30.629,           27.653,          -21.425,           6.942,            0.266,           0.009,            0.003,           0.000,            0.267,           0.001,            0.003,           0.000,           63.056,           0.161,            0.695,           0.005,            0.139,           0.006,            0.000,              ,                     ,                     ,                     ,                     
      2,         1,05/31/19 09:29:57,1559309271.63895,           23.238,           56.786,          -28.007,           39.489,          -28.731,           6.847,            0.208,           0.009,            0.002,           0.000,            0.201,           0.000,            0.002,           0.000,           57.978,           0.141,            0.634,           0.005,            0.069,           0.004,            0.000,              ,                     ,                     ,                     ,                     
      3,         1,05/31/19 09:41:42,1559309977.27063,           25.242,           63.307,          -38.158,           41.851,          -27.319,           8.224,            0.207,           0.010,            0.002,           0.000,            0.202,           0.000,            0.002,           0.000,           43.297,           0.138,            0.474,           0.004,            0.054,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      4,         1,05/31/19 09:53:58,1559310713.18261,            8.495,           53.135,          -39.289,           31.167,          -19.860,           6.785,            0.255,           0.011,            0.003,           0.000,            0.249,           0.000,            0.003,           0.000,           55.841,           0.137,            0.616,           0.004,            0.057,           0.003,            0.000,              ,                     ,                     ,                     ,                     
      5,         1,05/31/19 10:05:21,1559311395.26150,           27.323,           60.480,          -31.938,           42.501,          -30.241,           5.003,            0.221,           0.011,            0.003,           0.000,            0.216,           0.000,            0.002,           0.000,           67.198,           0.125,            0.733,           0.004,            0.045,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      6,         1,05/31/19 10:16:29,1559312063.37844,           14.252,           54.254,          -45.452,           38.634,          -24.068,           6.765,            0.246,           0.010,            0.003,           0.000,            0.243,           0.000,            0.003,           0.000,           57.523,           0.109,            0.631,           0.004,            0.047,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      7,         1,05/31/19 10:28:56,1559312810.57604,           31.984,           74.078,          -31.185,           47.319,          -24.506,           8.349,            0.185,           0.010,            0.002,           0.000,            0.179,           0.000,            0.002,           0.000,           43.561,           0.120,            0.478,           0.004,            0.049,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      8,         1,05/31/19 10:40:16,1559313490.14380,           15.666,           73.965,          -46.829,           47.708,          -28.749,           5.769,            0.202,           0.010,            0.002,           0.000,            0.196,           0.000,            0.002,           0.000,           64.329,           0.128,            0.703,           0.004,            0.036,           0.002,            0.000,              ,                     ,                     ,                     ,                     
      9,         1,05/31/19 10:51:36,1559314170.94834,           38.598,           58.086,          -30.400,           39.696,          -23.810,           7.144,            0.232,           0.009,            0.003,           0.000,            0.230,           0.000,            0.003,           0.000,           58.045,           0.124,            0.637,           0.005,            0.044,           0.002,            0.000,              ,                     ,                     ,                     ,                     
     10,         1,05/31/19 11:04:38,1559314952.44727,          -14.219,           24.501,          -44.173,           15.894,          -16.519,           3.538,            0.467,           0.010,            0.005,           0.000,            0.466,           0.001,            0.005,           0.000,          105.573,           0.142,            1.169,           0.004,            0.111,           0.001,            0.000,              ,                     ,                     ,                     ,                     
