Run#,Vessel,Colony,Time,Pressure_Pa,Pressure_atm,VesselVol,TermPreWet,TermVol,PercSurv,WoodLabel,WoodVol,WoodPreDry,WoodPreWet,WoodPostDry,HSVol,WoodPerH2O,WoodLoss,WoodPerLoss
1,1,WH1,0,98807,0.9751,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,16,98552,0.9726,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,24,98104,0.9682,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,40,98553,0.9726,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,48,98398,0.9711,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,64,99018,0.9772,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,72,98810,0.9752,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,88,99098,0.978,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,96,98992,0.977,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,1,WH1,112,99174,0.9788,2279,4.95,4.8,94.2,A1,55,30.379,44.812,29.612,2219,32.2,0.77,2.5
1,2,WH2a,0,98626,0.9734,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,16,98476,0.9719,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,24,98088,0.9681,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,40,98499,0.9721,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,48,98441,0.9715,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,64,99008,0.9771,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,72,98932,0.9764,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,88,99130,0.9783,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,96,99024,0.9773,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,2,WH2a,112,99186,0.9789,1965,4.35,4.22,95.2,A2,60,34.285,50.97,33.528,1901,32.7,0.76,2.2
1,3,WH2b,0,99024,0.9773,2198,4.35,4.22,97.2,A3,60,34.87,51.946,34.174,2134,32.9,0.7,2
1,3,WH2b,16,98623,0.9733,2198,4.35,4.22,97.2,A3,60,34.87,51.946,34.174,2134,32.9,0.7,2
1,3,WH2b,24,98314,0.9703,2198,4.35,4.22,97.2,A3,60,34.87,51.946,34.174,2134,32.9,0.7,2
1,3,WH2b,40,98211,0.9693,2198,4.35,4.22,97.2,A3,60,34.87,51.946,34.174,2134,32.9,0.7,2
1,3,WH2b,48,98178,0.9689,2198,4.35,4.22,97.2,A3,60,34.87,51.946,34.174,2134,32.9,0.7,2
1,3,WH2b,64,98413,0.9713,2198,4.35,4.22,97.2,A3,60,34.87,51.946,34.174,2134,32.9,0.7,2
