Day,Inj.#,Sample#,Run#,Vessel,Treatment,Colony,Time (hr),Comments (during injections)
22,1,CH4 std,N/A,N/A,N/A,N/A,N/A,100 ppm CH4 standard
22,2,CH4 std,N/A,N/A,N/A,N/A,N/A,100 ppm CH4 standard
22,3,1,1,1,L+T,WH1,0,LowÉRe-run?
22,4,2,1,2,L+T,WH2a,0,Concentrations 2x higher than #1
22,5,3,1,3,L+T,WH2b,0,
22,6,4,2,4,L+T,WH3,0,
22,7,5,2,5,L+T,DW1,0,Bit lowÉ
22,8,6,3,6,L+T,OCM1,0,"Overpressurized (mess-up sample, 20 ml injected in same vial)"
22,9,7,1,1,L+T,WH1,16,
22,10,8,1,2,L+T,WH2a,16,
22,11,9,1,3,L+T,WH2b,16,
22,12,10,2,4,L+T,WH3,16,
22,13,11,2,5,L+T,DW1,16,
22,14,12,3,6,L+T,OCM1,16,
22,15,13,1,1,L+T,WH1,24,Pulled from vial 2x (syringe lock valve popped off 1st pull)
22,16,14,1,2,L+T,WH2a,24,
22,17,15,1,3,L+T,WH2b,24,
22,18,16,2,4,L+T,WH3,24,
22,19,17,2,5,L+T,DW1,24,
22,20,18,3,6,L+T,OCM1,24,
22,21,19,1,1,L+T,WH1,40,
22,22,20,1,2,L+T,WH2a,40,
22,23,21,1,3,L+T,WH2b,40,
23,1,22,2,4,L+T,WH3,40,
23,2,23,2,5,L+T,DW1,40,
23,3,24,3,6,L+T,OCM1,40,Pulled zero air to bit more than 2.0 ml (~2.05) syringe dilution
23,4,1,1,1,L+T,WH1,0,Re-run of sample #1 (accidental skip in inj. #); similar to 1st inj.
23,5,25,1,1,L+T,WH1,48,
23,6,26,1,2,L+T,WH2a,48,
23,7,27,1,3,L+T,WH2b,48,
23,8,28,2,4,L+T,WH3,48,"Overpressurized, swoosh of air from needle (Re-run?)"
23,9,29,2,5,L+T,DW1,48,
23,10,30,3,6,L+T,OCM1,48,
23,11,31,1,1,L+T,WH1,64,Super low!! Re-run. Vial leak??
23,12,31,1,1,L+T,WH1,64,
23,13,32,1,2,L+T,WH2a,64,
23,14,33,1,3,L+T,WH2b,64,
23,15,34,2,4,L+T,WH3,64,
23,16,35,2,5,L+T,DW1,64,
23,17,36,3,6,L+T,OCM1,64,
23,18,37,1,1,L+T,WH1,72,
23,19,38,1,2,L+T,WH2a,72,
23,20,39,1,3,L+T,WH2b,72,
23,21,40,2,4,L+T,WH3,72,
23,22,41,2,5,L+T,DW1,72,
23,23,42,3,6,L+T,OCM1,72,
23,24,43,1,1,L+T,WH1,88,
23,25,44,1,2,L+T,WH2a,88,
23,26,45,1,3,L+T,WH2b,88,
23,27,45,1,3,L+T,WH2b,88,
24,1,46,2,4,L+T,WH3,88,
23,2,47,2,5,L+T,DW1,88,
24,3,48,3,6,L+T,OCM1,88,
24,4,49,1,1,L+T,WH1,96,
24,5,50,1,2,L+T,WH2a,96,
24,6,51,1,3,L+T,WH2b,96,
24,7,52,2,4,L+T,WH3,96,
24,8,53,2,5,L+T,DW1,96,"First injection after break, low (no increase from last time-point)"
24,9,53,2,5,L+T,DW1,96,Second injection bit higher 
24,10,54,3,6,L+T,OCM1,96,
24,11,55,1,1,L+T,WH1,112,
24,12,56,1,2,L+T,WH2a,112,
24,13,57,1,3,L+T,WH2b,112,Bit lowÉre-run
24,14,57,1,3,L+T,WH2b,112,Re-run of sample #57; even lower :(
24,15,58,2,4,L+T,WH3,112,
24,16,59,2,5,L+T,DW1,112,
24,17,60,3,6,L+T,OCM1,112,"Break after this sample, switched from sample loop to ambient, Re-run 5/31"
24,18,61,1,4,F+T,WH1,0,
24,19,62,1,5,F+T,WH2b,0,
24,20,63,1,6,F+T,WH2a,0,
24,21,64,2,1,F+T,WH3,0,
24,22,65,2,2,F+T,DW1,0,Methane below detection limit of 1.2 ppm
24,23,66,3,3,F+T,OCM1,0,
24,24,67,1,4,F+T,WH1,16,
24,25,68,1,5,F+T,WH2b,16,LowÉ
24,26,68,1,5,F+T,WH2b,16,"Re-run, higher than first injection"
24,27,69,1,6,F+T,WH2a,16,
24,28,70,2,1,F+T,WH3,16,
24,29,71,2,2,F+T,DW1,16,
24,30,72,3,3,F+T,OCM1,16,
26,1,CH4 std,N/A,N/A,N/A,N/A,N/A,100 ppm CH4 standard
26,2,CH4 std,N/A,N/A,N/A,N/A,N/A,100 ppm CH4 standard
26,3,73,1,4,F+T,WH1,24,Big jump in concentration
26,4,74,1,5,F+T,WH2b,24,
26,5,75,1,6,F+T,WH2a,24,
26,6,76,2,1,F+T,WH3,24,
26,7,77,2,2,F+T,DW1,24,
26,8,78,3,3,F+T,OCM1,24,
26,9,79,1,4,F+T,WH1,40,
26,10,80,1,5,F+T,WH2b,40,
27,1,81,1,6,F+T,WH2a,40,
27,2,82,2,1,F+T,WH3,40,
27,3,83,2,2,F+T,DW1,40,
27,4,84,3,3,F+T,OCM1,40,
27,5,85,1,4,F+T,WH1,48,
27,6,86,1,5,F+T,WH2b,48,
27,7,87,1,6,F+T,WH2a,48,LowÉ
27,8,88,2,1,F+T,WH3,48,
27,9,89,2,2,F+T,DW1,48,
27,10,90,3,3,F+T,OCM1,48,
27,11,91,1,4,F+T,WH1,64,
27,12,92,1,5,F+T,WH2b,64,
27,13,93,1,6,F+T,WH2a,64,
27,14,94,2,1,F+T,WH3,64,
27,15,95,2,2,F+T,DW1,64,Low; Re-run (no increase from last time-point)
27,16,96,3,3,F+T,OCM1,64,Low; Re-run (no increase from last time-point)
