Sample #,Wt.mg,Ampl.,PercC,d13C,AtomPer13C,,,
1,1.659,9256,52.12,-26.51,1.076659,,,
2,1.020,5381,45.84,-26.66,1.076498,, , 
3,1.160,6183,46.79,-26.67,1.076488,,,
4,1.450,7362,46.00,-26.55,1.076618,,,
5,1.040,5752,48.26,-26.72,1.076429,, ,
6,1.010,5489,47.37,-26.75,1.076397, ,,
7,1.295,6734,46.41,-27.09,1.076028,,,
8,1.140,6007,46.22,-27.37,1.075725,, ,
9,1.173,6309,47.45,-27.27,1.075830,,,
10,1.050,5515,45.82,-27.38,1.075709,, ,
11,1.179,5941,44.45,-26.99,1.076138,,,
12,1.026,5284,44.91,-26.95,1.076177,,,
13,1.154,6073,46.55,-26.22,1.076978,,,
14,0.965,5298,48.00,-26.78,1.076372,,,
15,0.912,4982,47.59,-26.43,1.076749,,,
16,0.947,5015,46.25,-27.67,1.075392,,,
17,0.928,5107,48.15,-29.61,1.073269,,,
18,0.910,4910,47.08,-28.16,1.074858,,,
19,0.929,5068,47.80,-31.22,1.071515,,,
20,1.071,5609,46.23,-31.09,1.071650,, ,
21,1.515,7442,44.66,-26.84,1.076306,,,
22,0.831,4311,45.10,-27.55,1.075525,,,
23,1.784,9302,49.42,-25.84,1.077395,,,
24,1.395,7969,52.43,-26.24,1.076959,,,
25,1.168,6722,51.73,-26.04,1.077173,,,
26,1.148,6394,49.82,-26.11,1.077105,,,
27,1.282,7332,51.88,-26.17,1.077038,,,
28,1.283,7258,51.22,-26.26,1.076935,,,
29,1.245,7092,51.51,-27.08,1.076045,,,
30,1.149,6635,51.83,-27.55,1.075527,,,
31,1.393,7912,52.41,-27.22,1.075892,,,
32,1.565,8505,50.61,-27.11,1.076012,,,
33,0.949,5474,50.91,-27.48,1.075602,,,
34,0.963,5534,50.75,-27.47,1.075614,,,
35,1.017,5690,49.45,-26.10,1.077109,,,
36,1.075,6334,52.50,-26.67,1.076493,,,
37,0.888,5232,51.89,-26.46,1.076713,,,
38,1.315,7230,49.93,-26.63,1.076527,,,
39,1.376,7786,52.07,-27.19,1.075918,,,
40,1.192,6835,51.67,-26.97,1.076159,,,
41,0.910,5139,49.77,-27.81,1.075243,,,
42,1.391,7614,50.01,-27.95,1.075093,,,
43,1.128,6189,49.04,-26.91,1.076224,,,
44,0.934,5260,49.79,-27.65,1.075419,,,
45,1.070,6293,53.93,-27.68,1.075380,,,
46,1.337,7710,54.22,-27.76,1.075299,,,
47,1.290,7595,54.66,-27.78,1.075279, ,,
48,0.925,5417,52.50,-37.87,1.064235,,,
49,1.349,7800,54.37,-38.67,1.063363,,,
50,1.245,7291,54.58,-39.11,1.062879,,,
51,1.289,7429,53.79,-37.44,1.064705,,,
52,0.884,5241,53.35,-38.42,1.063631,,,
53,1.648,9224,54.18,-27.58,1.075489,,,
54,1.493,8288,53.56,-27.96,1.075082,,,
55,1.576,8878,54.92,-27.30,1.075798,,,
56,1.758,9640,54.22,-27.53,1.075549,,,
57,1.243,7063,53.07,-27.66,1.075406,,,
58,1.150,6739,54.21,-38.70,1.063327,,,
59,1.107,6634,55.33,-39.37,1.062593,,,
60,1.623,9076,54.60,-38.62,1.063417,,,
61,1.475,8385,54.30,-37.73,1.064385,,,
62,1.307,7539,54.20,-37.70,1.064419,,,
63,1.021,6060,53.99,-27.88,1.075167,,,
64,1.481,8178,53.29,-27.85,1.075201,,, 
65,1.069,6343,55.06,-27.63,1.075435,,,
66,0.866,5055,53.72,-27.70,1.075362,,,
67,1.128,6500,53.86,-27.88,1.075167,,,
68,1.020,5902,53.90,-38.74,1.063278,,,
69,0.923,5364,53.92,-39.20,1.062773,,,
70,1.110,6639,55.35,-39.72,1.062209,,,
71,1.455,8338,54.96,-37.86,1.064243,,,
72,0.964,5646,53.28,-36.68,1.065538,,,
73,0.778,4587,52.69,-27.82,1.075234,,,
74,1.463,8062,52.85,-27.80,1.075253,,,
75,1.625,8518,50.18,-26.84,1.076304,,,
76,1.666,8692,50.21,-26.94,1.076196,,,
77,1.263,6846,49.93,-26.80,1.076345,,,
78,1.324,7163,50.11,-27.10,1.076023,,,
79,0.921,5169,49.90,-26.75,1.076403,,,
80,1.266,6974,50.61,-26.80,1.076341,,,
81,1.647,8665,50.76,-26.64,1.076526,,,
82,0.972,5321,49.14,-26.35,1.076834,,,
83,1.069,5926,50.08,-26.82,1.076329,,,
84,1.357,7281,49.68,-27.16,1.075956,,,
85,1.723,8798,49.50,-26.89,1.076248,,,
86,1.240,6646,49.18,-26.65,1.076515,,,
87,1.301,6921,49.49,-27.03,1.076100,,,
88,1.025,5675,50.24,-26.63,1.076536,,,
89,1.483,7888,50.50,-26.86,1.076279,,,
90,1.624,8563,50.08,-26.44,1.076744,,,
91,1.285,6841,49.11,-39.73,1.062202,,,
92,1.090,5947,49.16,-39.17,1.062816,,,
93,1.153,6209,48.98,-39.83,1.062090,,,
94,1.089,5937,49.18,-39.64,1.062296,,,
95,0.992,5536,49.68,-39.82,1.062097,,,
96,0.733,4375,47.41,-30.98,1.071776,,,
97,0.851,4925,46.63,-27.27,1.075828,,,
98,0.858,5147,48.80,-26.58,1.076582,,,
99,0.739,4469,48.41,-26.86,1.076278,,,
100,0.850,5047,48.27,-31.86,1.070812,,,
101,0.645,3964,48.20,-31.80,1.070875,,,
102,0.691,4236,48.41,-31.88,1.070791,,,
103,0.930,5576,49.12,-32.43,1.070190,,,
104,0.800,4508,45.15,-27.84,1.075211,,,
105,0.929,5449,48.00,-26.74,1.076410,,,
106,0.752,4515,48.27,-26.76,1.076391,,,
107,0.891,5253,48.32,-32.00,1.070658,,,
108,0.765,4611,48.67,-33.72,1.068774,,,
109,0.977,5706,48.47,-32.70,1.069890,,,
110,0.857,5063,48.18,-26.42,1.076761,,,
111,0.836,4942,48.50,-26.72,1.076435,,,
112,0.642,3896,48.75,-26.88,1.076254,,,
113,0.890,5260,48.51,-33.57,1.068937,,,
114,1.020,5928,48.87,-34.31,1.068130,,,
115,0.773,4622,48.50,-34.20,1.068251,,,
116,0.889,5403,50.52,-27.72,1.075338,,,
117,1.039,6231,51.04,-27.17,1.075938,,,
118,0.934,5916,53.06,-26.48,1.076698,,,
119,1.281,7494,51.59,-26.27,1.076922,,,
120,1.328,7982,53.21,-26.63,1.076534,,,
121,1.348,7967,52.55,-27.15,1.075959,,,
122,0.898,5738,53.36,-27.22,1.075889,,,
123,0.893,5645,52.60,-27.15,1.075963,,,
124,1.292,7619,51.64,-26.32,1.076875,,,
125,1.106,6778,52.60,-26.49,1.076685,,,
126,0.875,5486,51.74,-26.44,1.076744,,,
127,0.805,5100,51.80,-27.53,1.075546,,,
128,1.387,8051,51.45,-27.78,1.075269,,,
129,1.221,7275,51.58,-27.80,1.075255,,,
130,1.501,8520,50.88,-26.13,1.077082,,,
131,1.156,6998,51.95,-26.37,1.076821,,,
132,1.139,6832,51.38,-26.32,1.076869,,,
133,1.240,7237,50.43,-28.42,1.074579,,,
134,0.796,5076,51.93,-28.10,1.074927,,,
135,1.148,7035,52.60,-28.42,1.074574,,,
136,0.902,5806,53.49,-39.57,1.062376,,,
137,1.170,7345,54.55,-27.69,1.075374,,,
138,1.075,7008,56.17,-27.77,1.075282,,,
139,1.170,7541,56.51,-27.99,1.075040,,,
140,0.978,7807,70.22,-28.05,1.074980,,,
141,1.026,6806,56.91,-40.67,1.061173,,,
142,0.932,6243,56.56,-40.47,1.061393,,,
143,0.956,6352,56.13,-40.45,1.061407,,,
144,0.882,5822,54.90,-39.74,1.062187,,,
145,1.543,9331,55.98,-27.69,1.075370,,,
146,0.961,6377,55.99,-27.83,1.075219,,,
147,1.235,7827,55.78,-27.91,1.075128,,,
148,1.204,7738,56.69,-28.00,1.075034,,,
149,0.959,6414,56.54,-40.51,1.061341,,,
150,1.000,6541,55.46,-40.15,1.061733,,,
151,0.860,5592,54.04,-40.12,1.061776,,,
152,1.266,8089,56.72,-27.82,1.075231,,,
153,0.892,6050,56.53,-27.99,1.075039,,,
154,0.979,6575,57.12,-28.16,1.074856,,,
155,1.084,6987,55.37,-40.95,1.060861,,,
