Sample #,Sample Type,Ass.day,PrePost,Run#,Vessel ,Treatment,Wood,Colony,Comments 
1,guts,,Pre,1,1,Ambient,,WH1,
2,guts,,Pre,1,2,Ambient,,WH2a,
3,guts,,Pre,1,3,Ambient,,WH2b,
4,guts,,Pre,1,4,FACE,,WH1,Flying tin
5,guts,,Pre,1,5,FACE,,WH2b,
6,guts,,Pre,1,6,FACE,,WH2a,
7,guts,,Pre,2,1,FACE,,WH3,
8,guts,,Pre,2,2,FACE,,DW1,
9,guts,,Pre,2,4,Ambient,,WH3,
10,guts,,Pre,2,5,Ambient,,DW1,
11,guts,,Pre,3,3,FACE,,OCM1,
12,guts,,Pre,3,6,Ambient,,OCM1,
13,guts,,Post,1,1,Ambient,,WH1,
14,guts,,Post,1,2,Ambient,,WH2a,
15,guts,,Post,1,3,Ambient,,WH2b,
16,guts,,Post,1,4,FACE,,WH1,
17,guts,,Post,1,5,FACE,,WH2b,
18,guts,,Post,1,6,FACE,,WH2a,
19,guts,,Post,2,1,FACE,,WH3,
20,guts,,Post,2,2,FACE,,DW1,
21,guts,,Post,2,4,Ambient,,WH3,
22,guts,,Post,2,5,Ambient,,DW1,
23,de-gutted bodies,,Pre,1,1,Ambient,,WH1,
24,de-gutted bodies,,Pre,1,2,Ambient,,WH2a,
25,de-gutted bodies,,Pre,1,3,Ambient,,WH2b,
26,de-gutted bodies,,Pre,1,4,FACE,,WH1,
27,de-gutted bodies,,Pre,1,5,FACE,,WH2b,
28,de-gutted bodies,,Pre,1,6,FACE,,WH2a,
29,de-gutted bodies,,Pre,2,1,FACE,,WH3,
30,de-gutted bodies,,Pre,2,2,FACE,,DW1,
31,de-gutted bodies,,Pre,2,4,Ambient,,WH3,
32,de-gutted bodies,,Pre,2,5,Ambient,,DW1,
33,de-gutted bodies,,Pre,3,3,FACE,,OCM1,
34,de-gutted bodies,,Pre,3,6,Ambient,,OCM1,
35,de-gutted bodies,,Post,1,1,Ambient,,WH1,
36,de-gutted bodies,,Post,1,2,Ambient,,WH2a,
37,de-gutted bodies,,Post,1,3,Ambient,,WH2b,
38,de-gutted bodies,,Post,1,4,FACE,,WH1,
39,de-gutted bodies,,Post,1,5,FACE,,WH2b,
40,de-gutted bodies,,Post,1,6,FACE,,WH2a,
41,de-gutted bodies,,Post,2,1,FACE,,WH3,
42,de-gutted bodies,,Post,2,2,FACE,,DW1,
43,de-gutted bodies,,Post,2,4,Ambient,,WH3,
44,de-gutted bodies,,Post,2,5,Ambient,,DW1,
45,frass,,Post,1,1,Ambient,,WH1,
46,frass,,Post,1,2,Ambient,,WH2a,
47,frass,,Post,1,3,Ambient,,WH2b,
48,frass,,Post,1,4,FACE,,WH1,
49,frass,,Post,1,5,FACE,,WH2b,
50,frass,,Post,1,6,FACE,,WH2a,
51,frass,,Post,2,1,FACE,,WH3,
52,frass,,Post,2,2,FACE,,DW1,With plaster-like const. mat
53,frass,,Post,2,4,Ambient,,WH3,
54,frass,,Post,2,5,Ambient,,DW1,
55,ridge-like construction mat. ,,Post,1,1,Ambient,,WH1,
56,ridge-like construction mat. ,,Post,1,2,Ambient,,WH2a,
57,ridge-like construction mat. ,,Post,1,3,Ambient,,WH2b,
58,ridge-like construction mat. ,,Post,1,4,FACE,,WH1,
59,ridge-like construction mat. ,,Post,1,5,FACE,,WH2b,
60,ridge-like construction mat. ,,Post,1,6,FACE,,WH2a,
61,ridge-like construction mat. ,,Post,2,1,FACE,,WH3,
62,ridge-like construction mat. ,,Post,2,2,FACE,,DW1,
63,ridge-like construction mat. ,,Post,2,4,Ambient,,WH3,
64,ridge-like construction mat. ,,Post,2,5,Ambient,,DW1,
65,construction mat. off  wood,,Post,1,1,Ambient,,WH1,talc-like
66,construction mat. off  wood,,Post,1,2,Ambient,,WH2a,talc-like
67,construction mat. off  wood,,Post,1,3,Ambient,,WH2b,talc-like
68,construction mat. off  wood,,Post,1,4,FACE,,WH1,"light, fluffy"
69,construction mat. off  wood,,Post,1,5,FACE,,WH2b,talc-like
70,construction mat. off  wood,,Post,1,6,FACE,,WH2a,talc-like
71,construction mat. off  wood,,Post,2,1,FACE,,WH3,R2 const.mat more gritty than R1*
72,construction mat. off  wood,,Post,2,2,FACE,,DW1,Lots of mandibles
73,construction mat. off  wood,,Post,2,4,Ambient,,WH3,"gritty pills, staticky"
74,construction mat. off  wood,,Post,2,5,Ambient,,DW1,"gritty pills, staticky, manidibles"
75,wood,,Pre,1,1,Ambient,,WH1,
76,wood,,Pre,1,2,Ambient,,WH2a,
77,wood,,Pre,1,3,Ambient,,WH2b,
78,wood,,Pre,1,7,Ambient blank,,,
79,wood,,Pre,2,4,Ambient,,WH3,
80,wood,,Pre,2,5,Ambient,,DW1,
81,wood,,Pre,2,8,Ambient blank,,,
82,wood,,Pre,3,6,Ambient,,OCM1,
83,wood,,Pre,3,8,Ambient blank,,,
84,wood,,Post,1,1,Ambient,,WH1,
85,wood,,Post,1,2,Ambient,,WH2a,
86,wood,,Post,1,3,Ambient,,WH2b,
87,wood,,Post,1,7,Ambient blank,,,
88,wood,,Post,2,4,Ambient,,WH3,
89,wood,,Post,2,5,Ambient,,DW1,
90,wood,,Post,2,8,Ambient blank,,,
91,wood,,Post,1,4,FACE,,WH1,
92,wood,,Post,1,5,FACE,,WH2b,
93,wood,,Post,1,6,FACE,,WH2a,
94,wood,,Post,1,8,FACE blank,,,
95,wood,,Post,2,1,FACE,,WH3,
96,guts,,Post,3,3,FACE,,OCM1,"Loose cap, re-dry"
97,guts,,Post,3,6,Ambient,,OCM1,
98,guts,6,,,,Ambient,AssL1,,
99,guts,6,,,,Ambient,AssL2,,
100,guts,6,,,,Ambient,AssL3,,
101,guts,6,,,,FACE,F7,,
102,guts,6,,,,FACE,F8,,
103,guts,6,,,,FACE,F15,,
104,guts,12,,,,Ambient,AssL1,,
105,guts,12,,,,Ambient,AssL2,,
106,guts,12,,,,Ambient,AssL3,,
107,guts,12,,,,FACE,F7,,
108,guts,12,,,,FACE,F8,,
109,guts,12,,,,FACE,F15,,
110,guts,18,,,,Ambient,AssL1,,
111,guts,18,,,,Ambient,AssL2,,
112,guts,18,,,,Ambient,AssL3,,
113,guts,18,,,,FACE,F7,,
114,guts,18,,,,FACE,F8,,
115,guts,18,,,,FACE,F15,,
116,de-gutted bodies,,Post,3,3,FACE,,OCM1,
117,de-gutted bodies,,Post,3,6,Ambient,,OCM1,
118,de-gutted bodies,6,,,,Ambient,AssL1,,
119,de-gutted bodies,6,,,,Ambient,AssL2,,
120,de-gutted bodies,6,,,,Ambient,AssL3,,
121,de-gutted bodies,6,,,,FACE,F7,,
122,de-gutted bodies,6,,,,FACE,F8,,
123,de-gutted bodies,6,,,,FACE,F15,,
124,de-gutted bodies,12,,,,Ambient,AssL1,,
125,de-gutted bodies,12,,,,Ambient,AssL2,,
126,de-gutted bodies,12,,,,Ambient,AssL3,,
127,de-gutted bodies,12,,,,FACE,F7,,
128,de-gutted bodies,12,,,,FACE,F8,,
129,de-gutted bodies,12,,,,FACE,F15,,
130,de-gutted bodies,18,,,,Ambient,AssL1,,
131,de-gutted bodies,18,,,,Ambient,AssL2,,
132,de-gutted bodies,18,,,,Ambient,AssL3,,
133,de-gutted bodies,18,,,,FACE,F7,,
134,de-gutted bodies,18,,,,FACE,F8,,
135,de-gutted bodies,18,,,,FACE,F15,,
136,frass,,Post,3,3,FACE,,OCM1,
137,frass,,Post,3,6,Ambient,,OCM1,
138,frass,18,,,,Ambient,AssL1,,Freeze-dried in box
139,frass,18,,,,Ambient,AssL2,,Freeze-dried in box
140,frass,18,,,,Ambient,AssL3,,Freeze-dried in box
141,frass,18,,,,FACE,F7,,Freeze-dried in box
142,frass,18,,,,FACE,F8,,Freeze-dried in box
143,frass,18,,,,FACE,F15,,Freeze-dried in box
144,ridge-like construction mat. ,,Post,3,3,FACE,,OCM1,
145,ridge-like construction mat. ,,Post,3,6,Ambient,,OCM1,
146,ridge-like construction mat. ,18,,,,Ambient,AssL1,,Freeze-dried in box
147,ridge-like construction mat. ,18,,,,Ambient,AssL2,,Freeze-dried in box
148,ridge-like construction mat. ,18,,,,Ambient,AssL3,,Freeze-dried in box
149,ridge-like construction mat. ,18,,,,FACE,F7,,Freeze-dried in box
150,ridge-like construction mat. ,18,,,,FACE,F8,,Freeze-dried in box
151,ridge-like construction mat. ,18,,,,FACE,F15,,Freeze-dried in box
152,plaster-like construction mat. ,18,,,,Ambient,AssL1,,Freeze-dried in box
153,plaster-like construction mat. ,18,,,,Ambient,AssL2,,Freeze-dried in box
154,plaster-like construction mat. ,18,,,,Ambient,AssL3,,Freeze-dried in box
155,plaster-like construction mat. ,18,,,,FACE,F7,,Freeze-dried in box
156,plaster-like construction mat. ,18,,,,FACE,F8,,Freeze-dried in box
157,plaster-like construction mat. ,18,,,,FACE,F15,,Freeze-dried in box
158,construction mat. off  wood,,Post,3,3,FACE,,OCM1,
159,construction mat. off  wood,,Post,3,6,Ambient,,OCM1,
160,construction mat. off  wood,18,,,,Ambient,AssL1,,
161,construction mat. off  wood,18,,,,Ambient,AssL2,,
162,construction mat. off  wood,18,,,,Ambient,AssL3,,
163,construction mat. off  wood,18,,,,FACE,F7,,
164,construction mat. off  wood,18,,,,FACE,F8,,
165,construction mat. off  wood,18,,,,FACE,F15,,
